address,city,neighbourhood,bed,bath,type,style,walk_score,lot_size,age,size,listed_price,estimated_mortgage,property_tax,last_sold_price,last_sold_year
40 Hallow Crescent,Toronto,Rexdale-kipling,3+1,2,Detached,Bungalow,36,5400.0,No Data,No Data,997700.0,5453.0,3621,2400.0,2021
27 Dellbrook Crescent,Toronto,Humber Summit,3,2,SEMI-DETACHED,Bungalow-Raised,48,2746.7327999999998,No Data,1100-1500 sqft,948000.0,5167.0,3080,2400.0,2021
242 Braymore Boulevard,Toronto,Rouge E11,3,3,SEMI-DETACHED,2-Storey,36,3810.0,No Data,No Data,889000.0,4828.0,2676,2400.0,2021
12 Phillip Avenue,Toronto,Birchcliffe-cliffside,3,3,Investment,Residential,36,Residential,1700 sqft,Apts-2 To 5 Units,885000.0,4828.0,2676,2400.0,2021
205 - 30 Meadowglen Place,Toronto,Woburn,1,1,Condo Apt,Apartment,36,No Data,Restrict,0-499 sqft,475000.0,2445.0,1000,489000.0,2022
904 - 17 Dundonald Street,Toronto,Church-yonge Corridor,1,1,Condo Apt,Apartment,36,0-5 years,Restrict,500-599 sqft,689000.0,3677.0,2682,2300.0,2022
314 - 399 Spring Garden Avenue,Toronto,Willowdale East,1+1,2,Condo Apt,Apartment,36,6-10 years,Restrict,600-699 sqft,725000.0,3884.0,2310,549000.0,2018
87 Greenwood Avenue,Toronto,Greenwood-coxwell,3+1,3,SEMI-DETACHED,2-Storey,85,1748.3799999999999,100+ years,1500-2000 sqft,1199999.0,6418.0,4405,1549999.0,2022
2506 Bayview Avenue,Toronto,Bridle Path-sunnybrook-york Mills,3,5,Att/Row/Twnhouse,3-Storey,59,"
No Data ",6-15 years,3000-3500 sqft,2898900.0,15900.0,9618,1659900.0,2013
519 - 5 Massey Square,Toronto,Crescent Town,2,1,Condo Apt,Apartment,59,31-50 years,Restrict,900-999 sqft,479900.0,2474.0,965,1659900.0,2013
404 - 125 Redpath Avenue,Toronto,Mount Pleasant West,1+1,2,Condo Apt,Apartment,59,No Data,Restrict,600-699 sqft,678900.0,3619.0,2084,679900.0,2022
1113 - 801 King Street W,Toronto,Niagara,2,2,Condo Apt,Apartment,59,No Data,Restrict,800-899 sqft,699000.0,3734.0,2597,397000.0,2013
413 - 15 Bruyeres Mews,Toronto,Niagara,1+1,2,Condo Apt,Apartment,59,No Data,Restrict,700-799 sqft,739000.0,3965.0,2319,759000.0,2022
1113 - 801 King Street W,Toronto,Niagara,2,2,Condo Apt,Apartment,59,No Data,Restrict,800-899 sqft,699000.0,3734.0,2597,397000.0,2013
413 - 15 Bruyeres Mews,Toronto,Niagara,1+1,2,Condo Apt,Apartment,59,No Data,Restrict,700-799 sqft,739000.0,3965.0,2319,759000.0,2022
63 Kennebec Crescent,Toronto,Rexdale-kipling,3+1,2,Detached,Backsplit 3,50,5085.0,No Data,No Data,1228868.0,6579.0,3500,988888.0,2021
495 Warden Avenue,Toronto,Birchcliffe-cliffside,4,6,Detached,2-Storey,55,2206.0995,0-5 years,2000-2500 sqft,1389000.0,7473.0,3500,699900.0,2017
5 Scotchdale Avenue,Toronto,Eglinton East,3+2,2,Detached,Bungalow,33,5007.64,No Data,No Data,999999.0,5466.0,3463,599000.0,2016
60 Chudleigh Avenue,Toronto,Lawrence Park South,3,2,Detached,2-Storey,71,3600.0,No Data,2000-2500 sqft,1879000.0,10208.0,8860,1749000.0,2022
4207 - 251 Jarvis Street,Toronto,Church-yonge Corridor,n/a,1,Condo Apt,Apartment,71,0-5 years,Restrict,0-499 sqft,479900.0,2474.0,1302,1749000.0,2022
209 - 1101 Steeles Avenue W,Toronto,Westminster-branson,2,2,Condo Apt,Apartment,71,No Data,N,900-999 sqft,555000.0,2906.0,1711,544900.0,2021
29 Beacon Road,Toronto,Dorset Park,3+2,3,Detached,Bungalow-Raised,67,5400.0,No Data,No Data,999000.0,5461.0,3781,1249000.0,2022
14 Bayfield Crescent,Toronto,Playter Estates-danforth,3,4,Detached,2-Storey,91,2173.0,No Data,No Data,3489000.0,19193.0,7065,1848000.0,2021
697 Crawford Street,Toronto,Palmerston-little Italy,5+2,5,Detached,3-Storey,90,2900.0,No Data,3000-3500 sqft,3750000.0,20650.0,10402,3089000.0,2020
405 - 330 Dixon Road,Toronto,Kingsview Village-the Westway,2,1,Condo Apt,Apartment,90,No Data,Restrict,800-899 sqft,449000.0,2296.0,512,419900.0,2022
56 Sudbury Hall Drive,Toronto,Rouge E11,4,3,Detached,2-Storey,24,3005.3022,31-50 years,No Data,999999.0,5466.0,3033,419900.0,2022
519 Davenport Road,Toronto,Casa Loma,2+1,4,Att/Row/Twnhouse,3-Storey,90,2818.941,No Data,No Data,2699000.0,14784.0,9264,2849000.0,2022
72 Vanderhoof Avenue,Toronto,Leaside,4+1,5,Detached,2-Storey,80,4050.0,No Data,No Data,3999000.0,22040.0,6736,1329000.0,2019
33 Blyth Hill Road,Toronto,Bridle Path-sunnybrook-york Mills,4+1,5,Detached,2-Storey,28,7500.0,No Data,No Data,8995000.0,49923.0,25467,9980000.0,2022
1 - 175 Alexmuir Boulevard,Toronto,Agincourt North,4,3,Condo Townhouse,2-Storey,28,31-50 years,Restrict,1200-1399 sqft,799000.0,4310.0,2720,849000.0,2022
701 - 1350 Kingston Road,Toronto,Birchcliffe-cliffside,2+1,2,Condo Apt,Apartment,28,New,Restrict,1200-1399 sqft,1699000.0,9203.0,3993,1699000.0,2022
76 Bain Avenue,Toronto,North Riverdale,3,2,SEMI-DETACHED,2-Storey,77,2340.0,No Data,No Data,1659000.0,8980.0,6275,1699000.0,2022
316 Strathmore Boulevard,Toronto,Danforth,3,2,Detached,Bungalow,87,4636.0,No Data,2000-2500 sqft,1699000.0,9203.0,7638,2049000.0,2022
65 Allangrove Crescent,Toronto,L'amoreaux,3,3,Detached,2-Storey,54,4280.0,51-99 years,No Data,1100000.0,5860.0,5479,2049000.0,2022
1 Rollscourt Drive,Toronto,St. Andrew-windfields,3+3,4,Detached,Bungalow,43,12500.0,No Data,No Data,3895000.0,21459.0,14553,1375000.0,2005
106 - 7 Thornwood Road,Toronto,Rosedale-moore Park,2,2,Co-Op Apt,Apartment,43,51-99 years,N,1200-1399 sqft,1149000.0,6134.0,14553,1375000.0,2005
31 Edwalter Avenue,Toronto,Stonegate-queensway,4+1,5,Detached,2-Storey,17,5638.59,No Data,2500-3000 sqft,3449000.0,18970.0,8329,3595000.0,2022
21 Neilson Avenue,Toronto,Cliffcrest,4+1,5,Detached,2-Storey,61,5320.0,No Data,No Data,2350000.0,12836.0,6989,1449000.0,2016
204 - 150 Fairview Mall Drive,Toronto,Don Valley Village,1+1,1,Condo Apt,Apartment,61,0-5 years,Restrict,500-599 sqft,560000.0,2935.0,1820,449000.0,2019
57 - 441 Military Trail,Toronto,Morningside,4+1,3,Condo Townhouse,3-Storey,61,No Data,Restrict,1200-1399 sqft,638000.0,3383.0,1857,339900.0,2015
1315 Lansdowne Avenue,Toronto,Corso Italia-davenport,3+1,2,Detached,2-Storey,76,2420.0,No Data,No Data,1549999.0,8372.0,4442,559900.0,2012
50 Granby Street,Toronto,Church-yonge Corridor,3,3,Condo Townhouse,3-Storey,76,No Data,Restrict,2500-2749 sqft,1599000.0,8645.0,3428,2750.0,2005
96 Anglesey Boulevard,Toronto,Edenbridge-humber Valley,3,2,Detached,Sidesplit 4,52,7200.0,No Data,No Data,1499900.0,8092.0,5991,2750.0,2005
509 - 120 Rosedale Valley Road,Toronto,Rosedale-moore Park,2,2,Co-Op Apt,Apartment,52,51-99 years,Restrict,1200-1399 sqft,1050000.0,5581.0,5991,329000.0,2004
27 Deepdale Drive N,Toronto,Agincourt North,3,2,Detached,Sidesplit 4,41,6000.0,31-50 years,1500-2000 sqft,1099900.0,5860.0,4689,329000.0,2004
123 Allanhurst Drive,Toronto,Edenbridge-humber Valley,4,2,Detached,Backsplit 4,34,7541.34,No Data,2000-2500 sqft,1829000.0,9929.0,4916,1480000.0,2021
1016 - 181 Village Green Square,Toronto,Agincourt South-malvern West,1+1,1,Condo Apt,Apartment,34,No Data,Restrict,600-699 sqft,618000.0,3268.0,1820,1480000.0,2021
1209 - 100 Harrison Garden Boulevard,Toronto,Willowdale East,2+1,2,Condo Apt,Apartment,34,No Data,Restrict,1200-1399 sqft,988000.0,5397.0,3361,1035000.0,2022
327 - 2799 Kingston Road,Toronto,Cliffcrest,2,2,Condo Apt,Apartment,34,New,Restrict,700-799 sqft,599900.0,3164.0,2133,1035000.0,2022
209 - 2799 Kingston Road,Toronto,Scarborough Village,2,1,Condo Apt,Apartment,34,New,N,600-699 sqft,499900.0,2589.0,1551,1035000.0,2022
326 - 2799 Kingston Road,Toronto,Cliffcrest,2,2,Condo Apt,Apartment,34,New,Restrict,700-799 sqft,599900.0,3164.0,2132,2050.0,2021
208 - 2799 Kingston Road,Toronto,Scarborough Village,2,1,Condo Apt,Apartment,34,New,N,600-699 sqft,499900.0,2589.0,1551,1850.0,2021
2406 - 33 Helendale Avenue,Toronto,Yonge-eglinton,1,1,Condo Apt,Apartment,34,No Data,Restrict,0-499 sqft,642000.0,3406.0,2215,1750.0,2021
1907 - 10 Bellair Street,Toronto,Annex,2,3,Condo Apt,Apartment,34,16-30 years,Restrict,2000-2249 sqft,2649000.0,14505.0,12601,2750000.0,2022
1706 - 212 Eglinton Avenue E,Toronto,Mount Pleasant East,2+1,1,Condo Apt,Apartment,34,16-30 years,Restrict,700-799 sqft,749000.0,4022.0,2572,359000.0,2009
Ph25 - 300 Mill Road,Toronto,Markland Wood,2,2,Condo Apt,Multi-Level,34,No Data,Restrict,1000-1199 sqft,649000.0,3447.0,2490,635000.0,2022
3315 - 135 Village Green Square E,Toronto,Agincourt South-malvern West,1,1,Condo Apt,Apartment,34,11-15 years,Restrict,500-599 sqft,499900.0,2589.0,1611,635000.0,2022
1215 - 400 Adelaide Street E,Toronto,Moss Park,2,2,Condo Apt,Apartment,34,0-5 years,Restrict,700-799 sqft,850000.0,4603.0,2629,635000.0,2022
116 Betty Ann Drive,Toronto,Willowdale West,3,2,Detached,Sidesplit 4,73,6959.889999999999,No Data,No Data,1900000.0,10325.0,6825,1499000.0,2018
704 - 195 Redpath Avenue,Toronto,Mount Pleasant West,2,2,Condo Apt,Apartment,73,0-5 years,Restrict,600-699 sqft,679000.0,3619.0,6825,1499000.0,2018
705 - 15 Maplewood Avenue,Toronto,Humewood-cedarvale,2+1,2,Condo Apt,Apartment,73,No Data,Restrict,800-899 sqft,599900.0,3164.0,6825,1499000.0,2018
4 Merkley Square,Toronto,Morningside,3+2,3,Detached,Bungalow,34,5796.0,No Data,No Data,1550000.0,8372.0,3217,1499000.0,2018
61 Parsell Square,Toronto,Malvern,3+2,2,SEMI-DETACHED,Bungalow,47,3300.0,No Data,No Data,879900.0,4775.0,2568,1499000.0,2018
703 - 15 Maplewood Avenue,Toronto,Humewood-cedarvale,1+1,1,Condo Apt,Apartment,47,No Data,Restrict,500-599 sqft,439900.0,2244.0,2568,1190.0,2012
223 - 20 Elsie Lane,Toronto,Dovercourt-wallace Emerson-junction,2+1,2,Condo Townhouse,Stacked Townhse,47,No Data,Restrict,1200-1399 sqft,1050000.0,5581.0,3520,799900.0,2022
301 - 15 Maplewood Avenue,Toronto,Humewood-cedarvale,2+1,1,Condo Apt,Apartment,47,No Data,Restrict,600-699 sqft,519900.0,2704.0,3520,799900.0,2022
Sph2309 - 10 Queens Quay W,Toronto,Waterfront Communities C1,2+1,3,Condo Apt,2-Storey,47,No Data,Restrict,1800-1999 sqft,1649900.0,8929.0,5883,1649900.0,2022
209 - 15 Maplewood Avenue,Toronto,Humewood-cedarvale,1+1,1,Condo Apt,Apartment,47,No Data,Restrict,500-599 sqft,415900.0,2105.0,5883,1649900.0,2022
1002 - 301 Prudential Drive,Toronto,Dorset Park,2,1,Condo Apt,Apartment,47,No Data,Restrict,800-899 sqft,489000.0,2526.0,953,499000.0,2022
2206 - 19 Bathurst Street,Toronto,Waterfront Communities C1,1+1,1,Condo Apt,Apartment,47,0-5 years,Restrict,500-599 sqft,769000.0,4137.0,2493,688000.0,2022
805 - 705 King St W Street,Toronto,Niagara,1+1,1,Condo Apt,Apartment,47,No Data,Restrict,800-899 sqft,630000.0,3337.0,2100,635000.0,2022
203 - 747 Queen Street E,Toronto,South Riverdale,1,1,Condo Apt,Apartment,47,No Data,Restrict,600-699 sqft,729900.0,3912.0,2433,749900.0,2022
710 Ossington Avenue,Toronto,Palmerston-little Italy,3+1,3,Detached,2-Storey,91,2520.0,No Data,No Data,1994900.0,10855.0,8144,1999900.0,2022
106 - 1445 Wilson Avenue,Toronto,Downsview-roding-cfb,2,2,Condo Apt,Apartment,91,No Data,Restrict,900-999 sqft,549000.0,2871.0,1186,1999900.0,2022
506 - 55 Ontario Street,Toronto,Moss Park,1,1,Condo Apt,Apartment,91,0-5 years,Restrict,500-599 sqft,599000.0,3159.0,1186,1999900.0,2022
526 - 250 Manitoba Street,Toronto,Mimico,1,1,Condo Apt,Loft,91,16-30 years,Restrict,700-799 sqft,639000.0,3389.0,2062,549000.0,2021
804 - 234 Albion Road,Toronto,Elms-old Rexdale,3,2,Condo Apt,Apartment,91,16-30 years,Restrict,1200-1399 sqft,499000.0,2584.0,736,529000.0,2022
4201 - 1 King Street W,Toronto,Bay Street Corridor,1+1,1,Condo Apt,Apartment,91,No Data,Restrict,500-599 sqft,519900.0,2704.0,6232,529000.0,2022
951 St Clarens Avenue,Toronto,Corso Italia-davenport,4+2,3,Triplex,2-Storey,77,3705.7999999999997,No Data,No Data,2099000.0,11436.0,6003,529000.0,2022
62 - 28 Livingston Road,Toronto,Guildwood,3,3,Condo Townhouse,3-Storey,77,16-30 years,Restrict,1400-1599 sqft,699900.0,3740.0,2408,729900.0,2022
2506 - 735 Don Mills Road,Toronto,Flemingdon Park,2,1,Condo Apt,Apartment,77,No Data,Restrict,900-999 sqft,519900.0,2704.0,1194,729900.0,2022
1939 Davenport Road,Toronto,Weston-pellam Park,3,3,SEMI-DETACHED,2-Storey,65,2086.9289,No Data,No Data,1199000.0,6413.0,3300,1229000.0,2022
5-116 - 50 Old Kingston Road,Toronto,West Hill,n/a,1,Co-Op Apt,Apartment,65,31-50 years,Restrict,0-499 sqft,190000.0,781.0,3300,75000.0,2016
611 - 1338 York Mills Road,Toronto,Parkwoods-donalda,3,2,Condo Apt,Apartment,65,No Data,N,900-999 sqft,658888.0,3504.0,1333,699000.0,2022
#308 - 8 Pemberton Avenue,Toronto,Newtonbrook East,2,2,Condo Apt,Apartment,65,No Data,Restrict,900-999 sqft,688000.0,3671.0,2254,688000.0,2022
906 - 1603 Eglinton Avenue W,Toronto,Oakwood Village,2,2,Condo Apt,Apartment,65,0-5 years,Restrict,700-799 sqft,675000.0,3596.0,2534,688000.0,2022
1708 - 275 Bamburgh Circle,Toronto,Steeles,2+1,2,Condo Apt,Apartment,65,No Data,N,1200-1399 sqft,615000.0,3251.0,2098,599000.0,2021
301 - 3233 Eglinton Avenue E,Toronto,Scarborough Village,2+1,2,Condo Apt,Apartment,65,No Data,Restrict,1000-1199 sqft,534900.0,2790.0,1225,587000.0,2022
1258 - 60 Ann O'reilly Road,Toronto,Henry Farm,1+1,2,Condo Apt,Apartment,65,0-5 years,N,600-699 sqft,680000.0,3625.0,2085,1800.0,2020
905 - 85 Bloor Street E,Toronto,Church-yonge Corridor,2,2,Condo Apt,Apartment,65,No Data,Restrict,800-899 sqft,856000.0,4638.0,3280,1800.0,2020
611 - 55 Stewart Street,Toronto,Waterfront Communities C1,1,1,Condo Apt,Bachelor/Studio,65,11-15 years,Restrict,0-499 sqft,535000.0,2791.0,1991,535000.0,2022
C - 74 Coxwell Avenue,Toronto,Greenwood-coxwell,2,2,Condo Townhouse,Apartment,65,No Data,Restrict,900-999 sqft,950000.0,5179.0,2496,535000.0,2022
17 Pony Farm Drive,Toronto,Willowridge-martingrove-richview,3+1,4,Att/Row/Twnhouse,3-Storey,49,1324.3494000000003,0-5 years,2000-2500 sqft,1199990.0,6418.0,4954,535000.0,2022
47 Worthington Crescent,Toronto,High Park-swansea,3+1,4,Detached,2-Storey,62,5745.42,No Data,No Data,2398000.0,13104.0,9972,1998000.0,2018
1837 - 35 Viking Lane,Toronto,Islington-city Centre West,1+1,1,Condo Apt,Apartment,62,No Data,Restrict,700-799 sqft,658000.0,3498.0,2073,669000.0,2022
318 - 954 King Street W,Toronto,Niagara,1+1,2,Condo Apt,Apartment,62,16-30 years,Restrict,700-799 sqft,799000.0,4310.0,2578,399000.0,2013
504 - 4689 Jane Street,Toronto,Black Creek,2,1,Condo Apt,Apartment,62,31-50 years,Restrict,800-899 sqft,389000.0,1951.0,246,399000.0,2022
1703 - 8 Lee Centre Drive,Toronto,Woburn,2,2,Condo Apt,Apartment,62,No Data,Restrict,800-899 sqft,599900.0,3164.0,1548,420000.0,2020
507 - 155 St Clair Avenue W,Toronto,Casa Loma,2+1,3,Condo Apt,Apartment,62,No Data,Restrict,2250-2499 sqft,3125000.0,17162.0,13561,420000.0,2020
45 Roblin Avenue,Toronto,East York,4,4,Detached,2-Storey,72,3666.2999999999997,No Data,No Data,2299500.0,12555.0,4272,899000.0,2020
1509 - 20 Richardson Street,Toronto,Waterfront Communities C8,2,2,Condo Apt,Apartment,72,No Data,Restrict,600-699 sqft,739000.0,3965.0,2365,788888.0,2022
S629 - 112 George Street,Toronto,Moss Park,2,1,Condo Apt,Apartment,72,No Data,Restrict,800-899 sqft,849000.0,4597.0,3100,849000.0,2022
80 Lappin Avenue,Toronto,Dovercourt-wallace Emerson-junction,3+1,3,SEMI-DETACHED,2-Storey,75,2667.0,No Data,No Data,1369000.0,7361.0,4846,649900.0,2015
13 Palmer Avenue,Toronto,Crescent Town,4+1,4,Detached,3-Storey,88,2000.0,No Data,No Data,1695000.0,9181.0,3393,308900.0,2006
A01 - 284 Mill Road,Toronto,Markland Wood,2+1,2,Condo Apt,Apartment,88,No Data,Restrict,1000-1199 sqft,619900.0,3279.0,2496,308900.0,2006
1610 - 61 Town Centre Court,Toronto,Bendale,3,2,Condo Apt,Apartment,88,16-30 years,Restrict,1000-1199 sqft,775000.0,4172.0,2458,308900.0,2006
313 - 4200 Bathurst Street,Toronto,Clanton Park,1,1,Condo Apt,Apartment,88,No Data,Restrict,600-699 sqft,494900.0,2560.0,1655,499000.0,2022
105 - 415 Jarvis Street,Toronto,Cabbagetown-south St. James Town,2,1,Condo Townhouse,Stacked Townhse,88,16-30 years,Restrict,700-799 sqft,649999.0,3452.0,2559,499000.0,2022
12 Mendota Road,Toronto,Stonegate-queensway,4,3,Att/Row/Twnhouse,3-Storey,45,807.9119999999999,No Data,1500-2000 sqft,1249000.0,6692.0,4038,549900.0,2013
710 - 15 Beverley Street,Toronto,Kensington-chinatown,2,2,Condo Apt,Apartment,45,6-10 years,Restrict,900-999 sqft,1060000.0,5637.0,3830,909000.0,2017
901 - 235 Sherway Gardens Road,Toronto,Islington-city Centre West,1+1,1,Condo Apt,Apartment,45,No Data,Restrict,700-799 sqft,589000.0,3101.0,1965,479900.0,2019
27 - 16 Rexdale Boulevard,Toronto,Rexdale-kipling,2,2,Condo Townhouse,2-Storey,45,No Data,Restrict,1000-1199 sqft,499900.0,2589.0,1163,479900.0,2019
1701 - 1001 Bay Street,Toronto,Bay Street Corridor,1+1,1,Condo Apt,Apartment,45,No Data,Restrict,600-699 sqft,698000.0,3729.0,2553,739800.0,2022
34 Stonefield Crescent,Toronto,Morningside,3,2,Detached,Backsplit 3,19,5711.3189,No Data,No Data,1039000.0,5520.0,3444,799900.0,2021
406 - 185 Roehampton Avenue,Toronto,Mount Pleasant East,1+1,1,Condo Apt,Apartment,19,0-5 years,Restrict,500-599 sqft,649000.0,3447.0,2186,799900.0,2021
76 Follis Avenue,Toronto,Annex,3+1,4,SEMI-DETACHED,2-Storey,74,1740.8999999999999,No Data,No Data,1795000.0,9739.0,6123,1629000.0,2022
1607 - 3845 Lake Shore Boulevard W,Toronto,Long Branch,2,1,Condo Apt,Apartment,74,No Data,N,900-999 sqft,695000.0,3711.0,1782,615000.0,2021
71 Husband Drive,Toronto,Humber Summit,3+1,2,SEMI-DETACHED,Bungalow-Raised,49,4327.799999999999,No Data,No Data,999990.0,5466.0,3179,684900.0,2017
723 - 333 Adelaide Avenue E,Toronto,Moss Park,2,2,Condo Apt,Apartment,49,No Data,Restrict,1200-1399 sqft,1178800.0,6300.0,4272,684900.0,2017
597 Mcroberts Avenue,Toronto,Caledonia-fairbank,4,5,Detached,3-Storey,65,3323.51,New,No Data,1899900.0,10324.0,4272,1999900.0,2022
595 Mcroberts Avenue,Toronto,Caledonia-fairbank,4,5,Detached,3-Storey,65,3323.51,New,No Data,1899900.0,10324.0,4272,1999900.0,2022
112 O'connor Drive,Toronto,Broadview North,4,6,Detached,2-Storey,62,3456.0,0-5 years,No Data,1649000.0,8924.0,9542,1799000.0,2021
201 - 350 Alton Towers Circle,Toronto,Milliken,2,2,Condo Apt,Apartment,62,No Data,Restrict,900-999 sqft,598000.0,3153.0,1574,249000.0,2015
1347 Woodbine Avenue,Toronto,Woodbine-lumsden,3,4,Detached,2-Storey,84,1748.9999999999998,No Data,No Data,1799000.0,9761.0,2559,1699000.0,2022
253 Deloraine Avenue,Toronto,Lawrence Park North,4,3,Detached,2-Storey,69,3750.0,No Data,No Data,2395000.0,13088.0,7943,2495000.0,2022
309 Kane Avenue,Toronto,Keelesdale-eglinton West,3+1,4,SEMI-DETACHED,2-Storey,69,2088.2436000000002,6-15 years,No Data,1499900.0,8092.0,5500,999900.0,2021
20 Queensborough Crescent,Toronto,Willowridge-martingrove-richview,4,3,Detached,Backsplit 4,55,6208.9209,No Data,3000-3500 sqft,1701999.0,9220.0,5807,999900.0,2021
351 Melrose Street,Toronto,Mimico,3,4,Detached,2-Storey,61,3125.0,No Data,No Data,1648800.0,8923.0,4746,539000.0,2005
73 Fleming Crescent,Toronto,Leaside,3+1,2,Detached,2-Storey,91,4320.0,51-99 years,1500-2000 sqft,1995000.0,10855.0,9567,729000.0,2008
408 - 1001 Roselawn Avenue,Toronto,Briar Hill-belgravia,2+1,2,Condo Apt,Loft,91,No Data,Restrict,900-999 sqft,889995.0,4833.0,2686,389900.0,2013
2201 - 168 Bonis Avenue,Toronto,Tam O'shanter-sullivan,2+1,2,Condo Apt,Apartment,91,No Data,Restrict,1400-1599 sqft,749000.0,4022.0,2591,305000.0,2007
1102 - 438 Richmond Street W,Toronto,Waterfront Communities C1,1,1,Condo Apt,Apartment,91,16-30 years,Restrict,600-699 sqft,699000.0,3734.0,2686,359900.0,2011
1905 - 352 Front Street W,Toronto,Waterfront Communities C1,2,2,Condo Apt,Apartment,91,No Data,Restrict,700-799 sqft,865000.0,4690.0,3043,2350.0,2021
1407 - 386 Yonge Street,Toronto,Bay Street Corridor,3,2,Condo Apt,Apartment,91,6-10 years,Restrict,1000-1199 sqft,1389000.0,7473.0,6190,1375000.0,2021
Ph 03 - 2 Church Street,Toronto,Waterfront Communities C8,3,3,Condo Apt,Apartment,91,No Data,Restrict,1600-1799 sqft,2975000.0,16325.0,6190,1375000.0,2021
911 - 90 Queens Wharf Road,Toronto,Waterfront Communities C1,1,1,Condo Apt,Apartment,91,0-5 years,Restrict,500-599 sqft,718800.0,3848.0,2163,789000.0,2022
95 Delma Drive,Toronto,Alderwood,3,1,Detached,1 1/2 Storey,76,4994.0,51-99 years,1100-1500 sqft,999900.0,5466.0,3807,789000.0,2022
110 - 3650 Kingston Road,Toronto,Scarborough Village,1,1,Condo Apt,Apartment,76,No Data,Restrict,500-599 sqft,469000.0,2411.0,840,199000.0,2017
620 - 1190 Dundas Street E,Toronto,South Riverdale,2,1,Condo Apt,Apartment,76,No Data,Restrict,600-699 sqft,698000.0,3729.0,2010,199000.0,2017
517 - 18 Valley Woods Road,Toronto,Parkwoods-donalda,1,1,Condo Apt,Apartment,76,11-15 years,Restrict,500-599 sqft,549000.0,2871.0,1403,218000.0,2013
523 Midland Avenue,Toronto,Birchcliffe-cliffside,3,1,SEMI-DETACHED,Bungalow,54,4335.97,No Data,No Data,999900.0,5466.0,3134,218000.0,2013
1661 - 60 Ann O'reilly Road,Toronto,Henry Farm,2,2,Condo Apt,Apartment,54,0-5 years,Restrict,700-799 sqft,769000.0,4137.0,2462,799900.0,2022
75 Forest Heights Boulevard,Toronto,St. Andrew-windfields,5+1,11,Detached,2-Storey,15,16864.229499999998,6-15 years,5000+ sqft,8988000.0,49883.0,30327,8988000.0,2022
2008 - 60 Heintzman Street,Toronto,Junction Area,2+1,2,Condo Apt,Apartment,15,No Data,Restrict,1000-1199 sqft,949000.0,5173.0,2822,979000.0,2022
401 - 1 Rainsford Road,Toronto,The Beaches,3,3,Condo Apt,Apartment,15,No Data,Restrict,2000-2249 sqft,2195000.0,11971.0,8171,2289000.0,2022
347 - 8 Telegram Mews,Toronto,Waterfront Communities C1,2+1,2,Condo Apt,Apartment,15,No Data,Restrict,900-999 sqft,899999.0,4891.0,2993,818000.0,2019
34 Westcroft Drive,Toronto,West Hill,4+1,4,Detached,2-Storey,66,14771.9,No Data,No Data,1298000.0,6965.0,4271,1298000.0,2022
707 - 170 Bayview Avenue,Toronto,Waterfront Communities C8,1,1,Condo Apt,Apartment,66,0-5 years,Restrict,500-599 sqft,525000.0,2733.0,2073,575000.0,2022
5612 - 8 Eglinton Avenue E,Toronto,Mount Pleasant West,1+1,2,Condo Apt,Apartment,66,No Data,Restrict,600-699 sqft,690888.0,3688.0,2921,728800.0,2022
11 Eastmoor Crescent,Toronto,Birchcliffe-cliffside,3,1,Detached,Bungalow,53,6627.4,51-99 years,700-1100 sqft,999000.0,5461.0,4247,299900.0,2004
197 Goulding Avenue,Toronto,Newtonbrook West,3+1,2,Detached,Bungalow,31,6600.0,No Data,No Data,1699000.0,9203.0,5763,299900.0,2004
1005 - 101 Subway Crescent,Toronto,Islington-city Centre West,1,1,Condo Apt,Apartment,31,No Data,Restrict,0-499 sqft,449000.0,2296.0,1295,276000.0,2017
610 - 1401 O'connor Drive,Toronto,O'connor-parkview,1+1,2,Condo Apt,Apartment,31,No Data,Restrict,600-699 sqft,627000.0,3320.0,1987,649000.0,2022
2 Percy Street,Toronto,Moss Park,3,3,Condo Townhouse,3-Storey,31,No Data,Restrict,1800-1999 sqft,1675000.0,9069.0,5984,649000.0,2022
412 - 14 York Street,Toronto,Waterfront Communities C1,1+1,1,Condo Apt,Apartment,31,No Data,Restrict,500-599 sqft,629000.0,3332.0,2678,629000.0,2022
46 Eaton Avenue,Toronto,Danforth,2,2,Detached,2-Storey,91,2521.777,100+ years,1100-1500 sqft,1588000.0,8584.0,5249,1598000.0,2022
18 Fairford Avenue,Toronto,Greenwood-coxwell,3+1,2,SEMI-DETACHED,2-Storey,85,2500.0,No Data,No Data,1259000.0,6747.0,3558,1598000.0,2022
302-303 - 2 Forest Hill Road,Toronto,Forest Hill South,2+1,2,Condo Apt,Apartment,85,New,Restrict,2000-2249 sqft,4683900.0,25862.0,3558,4599900.0,2022
2808 - 28 Linden Street,Toronto,North St. James Town,2,2,Condo Apt,Apartment,85,11-15 years,Restrict,800-899 sqft,888000.0,4822.0,3368,4599900.0,2022
303 - 88 Davenport Road,Toronto,Annex,2,2,Condo Apt,Apartment,85,No Data,Restrict,1000-1199 sqft,1529000.0,8254.0,5359,1598000.0,2022
218 - 942 Yonge Street,Toronto,Annex,1+1,1,Condo Apt,Apartment,85,No Data,N,600-699 sqft,659000.0,3504.0,2408,629900.0,2021
2308 - 195 Redpath Avenue,Toronto,Mount Pleasant West,1+1,2,Condo Apt,Apartment,85,No Data,Restrict,500-599 sqft,649000.0,3447.0,2408,629900.0,2021
