address,city,neighbourhood,bed,bath,type,style,walk_score,lot_size,age,size,listed_price,estimated_mortgage,property_tax,last_sold_price,last_sold_year
193 Winnett Avenue,Toronto,Humewood-cedarvale,3,4,Detached,2-Storey,44,1615.0,No Data,No Data,1899000.0,10319.0,3287,799900.0,2019
1203 - 1910 Lake Shore Boulevard W,Toronto,South Parkdale,2,2,Condo Apt,Apartment,44,11-15 years,Restrict,800-899 sqft,759000.0,4080.0,2480,799900.0,2019
404 - 68 Broadview Avenue,Toronto,South Riverdale,2+1,1,Condo Apt,Loft,44,100+ years,Restrict,1400-1599 sqft,1589000.0,8589.0,5138,599900.0,2008
506 - 68 Yorkville Avenue,Toronto,Annex,4,5,Condo Apt,Apartment,44,No Data,Restrict,2750-2999 sqft,3500000.0,19255.0,15283,3995000.0,2022
1402 - 501 St. Clair Avenue W,Toronto,Casa Loma,1+1,1,Condo Apt,Apartment,44,No Data,Restrict,600-699 sqft,714800.0,3825.0,2799,3995000.0,2022
2103 - 135 East Liberty Street,Toronto,Niagara,3,2,Co-Op Apt,Apartment,44,No Data,Restrict,800-899 sqft,1298800.0,6970.0,2799,4050.0,2022
68 Marathon Crescent,Toronto,Newtonbrook West,4,3,Detached,2-Storey,37,8944.7377,51-99 years,1500-2000 sqft,1475000.0,7953.0,5593,4050.0,2022
820 - 816 Lansdowne Avenue,Toronto,Dovercourt-wallace Emerson-junction,1+1,1,Condo Apt,Apartment,37,No Data,Restrict,600-699 sqft,619900.0,3279.0,1896,529000.0,2019
104 - 492 Eglinton Avenue E,Toronto,Mount Pleasant East,2,2,Condo Apt,2-Storey,84,New,Restrict,1000-1199 sqft,999900.0,5466.0,1896,529000.0,2019
1101 - 263 Wellington Street W,Toronto,Waterfront Communities C1,1+1,1,Condo Apt,Apartment,84,11-15 years,Restrict,700-799 sqft,659000.0,3504.0,2155,583000.0,2019
1319 Davenport Road,Toronto,Dovercourt-wallace Emerson-junction,3+1,4,Att/Row/Twnhouse,3-Storey,75,660.0,No Data,2000-2500 sqft,1190000.0,6362.0,4164,1290000.0,2022
26 O'hara Avenue,Toronto,Roncesvalles,4,4,SEMI-DETACHED,2-Storey,89,3325.0,No Data,No Data,1799000.0,9761.0,6831,669000.0,2009
78 Jay Street,Toronto,Maple Leaf,3,2,Detached,Sidesplit 4,46,4466.5,No Data,No Data,1158000.0,6184.0,4277,669000.0,2009
62 Ellins Avenue,Toronto,Rockcliffe-smythe,4+1,4,Detached,2-Storey,22,5930.400000000001,No Data,No Data,1848800.0,10039.0,6490,264900.0,2003
41 Thirteenth Street,Toronto,New Toronto,2+1,2,Detached,Bungalow,65,2566.2999999999997,51-99 years,< 700 sqft,899900.0,4890.0,3589,429000.0,2014
33 Dundalk Drive,Toronto,Dorset Park,3,2,Condo Townhouse,2-Storey,65,31-50 years,Restrict,1800-1999 sqft,829000.0,4482.0,2199,209500.0,2003
2703 - 375 King Street W,Toronto,Waterfront Communities C1,2+1,2,Condo Apt,Apartment,65,6-10 years,Restrict,1200-1399 sqft,1499000.0,8087.0,5504,1195000.0,2020
123 Allanhurst Drive,Toronto,Edenbridge-humber Valley,4,2,Detached,Backsplit 4,34,7541.34,No Data,2000-2500 sqft,1829000.0,9929.0,4916,1480000.0,2021
